Validation overall accuracy_RF_bajie1_2019_30: ,0.6733333333333333

Validation kappa accuracy_RF_bajie1_2019_30: ,0.6266951089440804

Validation kappa accuracy_RF_bajie1_2019_30水稻面积为(Km): ,232.48953577155407

当前时间为： ,2022-08-01 22:30:48.120172

Validation error matrix_RF_chousui1_2019_30: ,"[[14, 0, 10, 1, 0, 0, 0, 0, 0], [0, 15, 1, 1, 2, 1, 0, 0, 1], [6, 1, 9, 1, 2, 2, 0, 0, 0], [2, 4, 0, 6, 0, 1, 0, 0, 0], [0, 0, 2, 2, 12, 5, 0, 1, 0], [3, 1, 3, 3, 7, 3, 0, 2, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 17, 1], [0, 0, 0, 0, 0, 1, 0, 0, 8]]"

Validation overall accuracy_RF_chousui1_2019_30: ,0.5419354838709678

Validation kappa accuracy_RF_chousui1_2019_30: ,0.4737219645162834

Validation kappa accuracy_RF_chousui1_2019_30水稻面积为(Km): ,238.46974461314625

当前时间为： ,2022-08-01 22:31:22.247348

Validation error matrix_RF_yizai2_2019_30: ,"[[17, 1, 4, 2, 0, 0, 0, 0, 0], [1, 18, 1, 1, 0, 0, 0, 0, 0], [5, 1, 12, 5, 2, 2, 0, 0, 0], [2, 5, 0, 12, 0, 1, 0, 0, 0], [0, 2, 0, 0, 24, 3, 0, 0, 0], [2, 2, 2, 0, 5, 7, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 14, 2], [0, 0, 0, 0, 1, 0, 0, 1, 16]]"

Validation overall accuracy_RF_yizai2_2019_30: ,0.6857142857142857

Validation kappa accuracy_RF_yizai2_2019_30: ,0.6389180672268908

Validation kappa accuracy_RF_yizai2_2019_30水稻面积为(Km): ,262.1273010177168

当前时间为： ,2022-08-01 22:32:02.518033

Validation error matrix_RF_bajie2_2019_30: ,"[[12, 0, 7, 1, 0, 1, 0, 0, 0], [1, 16, 3, 4, 1, 0, 0, 0, 0], [1, 0, 11, 2, 1, 4, 0, 0, 0], [2, 2, 3, 11, 1, 5, 0, 0, 0], [0, 1, 0, 0, 13, 3, 0, 0, 0], [0, 1, 3, 1, 11, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 1, 0, 17, 1], [0, 0, 0, 1, 0, 0, 0, 2, 21]]"

Validation overall accuracy_RF_bajie2_2019_30: ,0.6271186440677966

Validation kappa accuracy_RF_bajie2_2019_30: ,0.5745192307692308

Validation kappa accuracy_RF_bajie2_2019_30水稻面积为(Km): ,231.60358631798056

当前时间为： ,2022-08-01 22:32:34.210717

Validation error matrix_RF_chousui2_2019_30: ,"[[18, 2, 2, 1, 0, 0, 0, 0, 0], [0, 19, 0, 7, 0, 0, 0, 0, 0], [2, 2, 9, 2, 2, 4, 0, 0, 0], [3, 5, 3, 14, 1, 0, 0, 0, 1], [0, 0, 1, 0, 9, 5, 0, 0, 0], [0, 2, 3, 2, 3, 5, 0, 1, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 18, 2], [0, 0, 1, 0, 2, 1, 0, 1, 13]]"

Validation overall accuracy_RF_chousui2_2019_30: ,0.621301775147929

Validation kappa accuracy_RF_chousui2_2019_30: ,0.5649410723623345

Validation kappa accuracy_RF_chousui2_2019_30水稻面积为(Km): ,210.30359401568236

当前时间为： ,2022-08-01 22:33:12.561725

Validation error matrix_RF_yizai1_2020_30: ,"[[10, 0, 1, 0, 0, 0, 0, 0, 0], [1, 19, 0, 2, 1, 1, 0, 0, 1], [1, 1, 16, 3, 3, 1, 0, 0, 0], [3, 2, 0, 7, 2, 4, 0, 0, 4], [0, 0, 2, 5, 11, 3, 0, 0, 0], [0, 1, 1, 3, 6, 7, 0, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 16, 0], [2, 1, 0, 1, 1, 0, 0, 0, 19]]"

Validation overall accuracy_RF_yizai1_2020_30: ,0.625

Validation kappa accuracy_RF_yizai1_2020_30: ,0.5702626984449226

Validation kappa accuracy_RF_yizai1_2020_30水稻面积为(Km): ,172.23458436862228

当前时间为： ,2022-08-01 22:33:44.628281

Validation error matrix_RF_bajie1_2020_30: ,"[[13, 0, 2, 0, 0, 0, 0, 0, 0], [0, 10, 0, 0, 1, 0, 0, 0, 0], [2, 0, 12, 2, 2, 2, 0, 1, 1], [2, 6, 2, 2, 1, 1, 0, 0, 0], [0, 1, 1, 0, 12, 0, 0, 1, 0], [0, 1, 1, 1, 12, 6, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 21, 0], [0, 0, 0, 2, 1, 0, 0, 1, 18]]"

Validation overall accuracy_RF_bajie1_2020_30: ,0.6438356164383562

Validation kappa accuracy_RF_bajie1_2020_30: ,0.5927475592747561

Validation kappa accuracy_RF_bajie1_2020_30水稻面积为(Km): ,183.607173630082

当前时间为： ,2022-08-01 22:34:16.541704

Validation error matrix_RF_chousui1_2020_30: ,"[[20, 1, 0, 1, 0, 0, 0, 0, 1], [0, 15, 0, 2, 1, 0, 0, 0, 1], [3, 1, 8, 1, 0, 2, 0, 0, 0], [3, 5, 0, 1, 0, 1, 0, 0, 1], [0, 3, 1, 2, 15, 5, 0, 0, 3], [0, 3, 4, 1, 1, 3, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 17, 1], [0, 0, 0, 0, 0, 1, 0, 1, 16]]"

Validation overall accuracy_RF_chousui1_2020_30: ,0.6333333333333333

Validation kappa accuracy_RF_chousui1_2020_30: ,0.578177727784027

Validation kappa accuracy_RF_chousui1_2020_30水稻面积为(Km): ,169.6345659003616

当前时间为： ,2022-08-01 22:34:53.942786

Validation error matrix_RF_yizai2_2020_30: ,"[[13, 0, 4, 0, 0, 1, 0, 0, 0], [0, 18, 0, 3, 0, 1, 0, 0, 0], [0, 3, 9, 1, 0, 3, 0, 1, 0], [2, 1, 2, 11, 0, 1, 0, 0, 0], [0, 1, 0, 0, 14, 5, 0, 1, 0], [0, 2, 3, 0, 4, 11, 0, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 19, 1], [0, 0, 1, 0, 0, 1, 0, 0, 15]]"

Validation overall accuracy_RF_yizai2_2020_30: ,0.7051282051282052

Validation kappa accuracy_RF_yizai2_2020_30: ,0.6623058823529412

Validation kappa accuracy_RF_yizai2_2020_30水稻面积为(Km): ,245.10949595041296

当前时间为： ,2022-08-01 22:35:36.522563

